Rocky_3,http://www.horrorlair.com/scripts/rhps.txt
Rocky_4,https://web.archive.org/web/20160221233643/http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Rocky_V.pdf
To Kill a Mockingbird_0,https://www.dailyscript.com/scripts/To_Kill_a_Mockingbird.pdf
A Clockwork Orange_0,http://www.horrorlair.com/scripts/clockwork_orange.html
A Clockwork Orange_1,https://www.dailyscript.com/scripts/A+Clockwork+Orange.pdf
A Clockwork Orange_2,http://www.scifiscripts.com/scripts/clockwork.txt
Doctor Zhivago_0,https://www.dailyscript.com/scripts/drzhivago.pdf
The Searchers_0,"https://www.dailyscript.com/scripts/Searchers,%20The.txt"
The Searchers_1,http://www.aellea.com/script/searchers.html
Jaws_0,https://www.dailyscript.com/scripts/Jaws.txt
Jaws_1,http://www.horrorlair.com/scripts/jaws_final_draft.txt
Jaws_2,http://www.horrorlair.com/scripts/jaws_late_draft.txt
Jaws_3,https://www.dailyscript.com/scripts/Jaws%202.txt
Jaws_4,http://www.horrorlair.com/scripts/jaws2_revised_final_draft.txt
Jaws_5,http://www.horrorlair.com/scripts/jaws2finaldraft.txt
Jaws_6,http://www.horrorlair.com/scripts/jaws3_1st_draft.txt
Jaws_7,http://www.horrorlair.com/scripts/jaws_the_revenge.txt
The Treasure of the Sierra Madre_0,"https://web.archive.org/web/20160221233643/http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Treasure_of_the_Sierra_Madre,_The.pdf"
The Apartment_0,https://www.dailyscript.com/scripts/apartment.html
Platoon_0,https://www.dailyscript.com/scripts/platoon.html
Platoon_1,https://www.dailyscript.com/scripts/Platoon.txt
High Noon_0,https://www.dailyscript.com/scripts/High_Noon-1952-Shooting-script.pdf
Braveheart_0,http://www.awesomefilm.com/script/braveht.txt
Braveheart_1,https://www.dailyscript.com/scripts/Braveheart.txt
Jurassic Park_0,http://www.scifiscripts.com/scripts/JurassicPark_1stDraft.txt
Jurassic Park_1,http://web.archive.org/web/20030424093216/http://www.jpdatabase.net/jurassic/downloadable/jurassicpark_script_final.txt
Jurassic Park_2,http://www.scifiscripts.com/scripts/jurassic2_thw.txt
Jurassic Park_3,https://www.dailyscript.com/scripts/jp3.html
Jurassic Park_4,http://www.horrorlair.com/scripts/jurassic2_thw.txt
The Exorcist_0,http://www.horrorlair.com/scripts/exorcist.html
The Pianist_0,"https://www.dailyscript.com/scripts/Pianist,%20The.txt"
The Pianist_1,https://www.dailyscript.com/scripts/thepianist.html
Goodfellas_0,https://www.dailyscript.com/scripts/goodfellas.html
Goodfellas_1,https://www.dailyscript.com/scripts/goodfellas.pdf
Goodfellas_2,https://web.archive.org/web/20160221233643/http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Goodfellas.pdf
The Deer Hunter_0,https://www.dailyscript.com/scripts/deer_hunter.html
The Deer Hunter_1,https://web.archive.org/web/20160221233643/http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Deer_Hunter.pdf
Bonnie and Clyde_0,http://sfy.ru/sfy.html?script=bonnie_and_clyde
The French Connection_0,https://www.dailyscript.com/scripts/frenchconnection.html
It Happened One Night_0,https://www.dailyscript.com/scripts/It%20Happened%20One%20Night.txt
It Happened One Night_1,https://www.dailyscript.com/scripts/It_Happened_one_night.html
It Happened One Night_2,https://www.dailyscript.com/scripts/It+Happened+One+Night.txt
Midnight Cowboy_0,https://www.dailyscript.com/scripts/Midnight%20Cowboy.txt
